PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Myh4	0.7	0.2	0.7	-0.36	1.24	0.81	0.82	1.09
Myh8	0.57	0.2	0.37	-0.06	1.28	0.68	1.43	1.02
Tnnt1	0.93	0.32	0.89	-0.3	1.17	0.93	0.98	0.88
Serpina3n	1.38	2.23	1.02	0.39	1.24	2.45	1.7	1.02
Hba.a1	1.48	2.22	2.04	1.24	0.9	0.9	2.65	1
Myh2	0.78	0.42	0.72	-0.5	1.34	1.38	0.43	0.95
Tpm2	3.35	0.43	0.93	0.16	0.96	1.33	1.61	1.11
Hbb.bs	1.13	2.13	1.77	0.79	0.91	0.9	2.06	0.72
Atp2a2	1.27	2.03	1.15	0.07	1.07	1.04	1.46	0.99
Serpinf2	0.98	2	1.67	1.3	0.42	0.62	2.38	1.11
Acads	1.28	1.92	1.03	0.07	1.21	0.95	0.76	1.17
Gpx3	0.96	0.5	1.08	-0.07	0.96	1.11	0.79	0.99
Kng1	1.03	1.82	1.14	0.31	0.9	0.95	1.42	1.47
Lamc1	0.98	0.53	0.66	-0.18	0.42	0.96	0.89	1.15
Trio	0.94	1.8	1.46	-0.85	1.97	2	0.41	0.99
Gm9774	0.79	0.54	0.67	0.23	0.54	0.57	1.78	0.88
Igkv1.88	1.6	1.76	1.06	0.38	0.93	1.3	1.4	0.91
Rab10	0.82	1.75	0.58	-0.79	1.51	1.05	0.81	0.67
Suclg1	1.14	1.72	1.03	-0.13	0.97	1.19	0.88	1.22
Acot13	1.58	1.69	1.12	0.79	1.04	1.01	1.21	1
C3	1	0.58	0.93	0.07	0.89	1.26	1.06	0.9
Fga	1.41	1.66	1.74	1.04	0.49	0.66	2.24	1.28
Serpina3k	1.48	1.62	1.66	0.65	0.94	0.88	1.44	1.21
Pxdn	1.11	1.6	1.04	0.26	1.09	0.94	0.95	1.41
Ptma	1.43	0.62	1.1	0.08	0.66	0.68	0.75	1.61
Fgg	1.42	1.57	1.7	0.97	0.47	0.66	2.18	1.27
Prdm2	0.87	1.54	1.04	-0.58	0.76	0.88	0.82	0.91
Golga3	0.94	0.64	0.98	0.01	0.94	1.06	0.96	1.01
Srl	1.38	1.54	1.16	0.48	0.92	0.76	1.32	1.2
Nebl	0.74	1.53	0.81	-0.21	0.87	1.1	0.78	1
Mccc2	1.53	1.53	1.23	0.32	0.82	1.17	1.62	1.16
Vcp	0.99	0.64	1.11	0	0.92	0.78	1.18	1
